virus_strain,serum_strain,titer
DENV2/NICARAGUA/BIDV571/2006,DENV2/VIETNAM/AC20/2003,4.90689059561
DENV2/NICARAGUA/BIDV571/2006,DENV2/VIETNAM/AC21/2003,4.0
DENV2/NICARAGUA/BIDV571/2006,DENV2/VIETNAM/BIDV735/2006,7.79766152585
DENV2/NICARAGUA/BIDV571/2006,DENV3/INDONESIA/SLEMANDELTA30/1978,3.72792045456
DENV2/NICARAGUA/BIDV571/2006,DENV3/VIETNAM/BIDV1329/2006,3.45943161864
DENV2/NICARAGUA/BIDV571/2006,DENV4/DOMINICA/814669DELTA30/1981,3.67807190511
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.45943161864
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV1/PERU/IQT6152/2000,3.45943161864
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/CAMBODIA/D2T0601085/2009,3.58496250072
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/NICARAGUA/BIDV533/2005,4.16992500144
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/PERU/IQT2913/1996,4.32192809489
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/TONGA/DELTA30/1974,4.71549406386
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/VIETNAM/AC20/2003,6.1497471195
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV2/VIETNAM/BIDV735/2006,4.0
DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944,DENV4/DOMINICA/814669DELTA30/1981,3.32192809489
DENV2/PERU/IQT2913/1996,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.40372218605
DENV2/PERU/IQT2913/1996,DENV1/PERU/IQT6152/2000,5.08746284125
DENV2/PERU/IQT2913/1996,DENV1/PUERTO_RICO/BIDV852/2006,4.08746284125
DENV2/PERU/IQT2913/1996,DENV2/MALAYSIA/DKD811/2008,5.0
DENV2/PERU/IQT2913/1996,DENV2/NICARAGUA/BIDV533/2005,4.45943161864
DENV2/PERU/IQT2913/1996,DENV2/NICARAGUA/BIDV571/2006,6.33985000288
DENV2/PERU/IQT2913/1996,DENV2/PERU/IQT2913/1996,4.39231742278
DENV2/PERU/IQT2913/1996,DENV2/TONGA/DELTA30/1974,5.5060320315
DENV2/PERU/IQT2913/1996,DENV2/VIETNAM/AC20/2003,5.64385618977
DENV2/PERU/IQT2913/1996,DENV2/VIETNAM/AC21/2003,4.70043971814
DENV2/PERU/IQT2913/1996,DENV2/VIETNAM/BIDV735/2006,8.7108064337
DENV2/PERU/IQT2913/1996,DENV3/INDONESIA/SLEMANDELTA30/1978,4.32192809489
DENV2/PERU/IQT2913/1996,DENV3/VIETNAM/BIDV1329/2006,3.32192809489
DENV2/PERU/IQT2913/1996,DENV3/VIETNAM/BIDV1817/2007,3.45943161864
DENV2/PERU/IQT2913/1996,DENV4/CAMBODIA/NA/2010,3.32192809489
DENV2/PERU/IQT2913/1996,DENV4/DOMINICA/814669DELTA30/1981,3.70043971814
DENV2/SENEGAL/0674/1970,DENV1/BOLIVIA/FSB3363/2010,3.70043971814
DENV2/SENEGAL/0674/1970,DENV1/CAMBODIA/BIDV1991/2003,4.16992500144
DENV2/SENEGAL/0674/1970,DENV1/MYANMAR/61117/2005,4.90689059561
DENV2/SENEGAL/0674/1970,DENV1/PERU/IQT6152/2000,6.65821148275
DENV2/SENEGAL/0674/1970,DENV1/PUERTO_RICO/BIDV852/2006,3.32192809489
DENV2/SENEGAL/0674/1970,DENV1/VENEZUELA/OBT1298/2000,3.32192809489
DENV2/SENEGAL/0674/1970,DENV2/CAMBODIA/D2T0601085/2009,5.16992500144
DENV2/SENEGAL/0674/1970,DENV2/MALAYSIA/DKD811/2008,5.28540221886
DENV2/SENEGAL/0674/1970,DENV2/NICARAGUA/BIDV533/2005,4.08746284125
DENV2/SENEGAL/0674/1970,DENV2/NICARAGUA/BIDV571/2006,5.95419631039
DENV2/SENEGAL/0674/1970,DENV2/PERU/IQT2913/1996,3.70043971814
DENV2/SENEGAL/0674/1970,DENV2/SENEGAL/0674/1970,4.0
DENV2/SENEGAL/0674/1970,DENV2/TONGA/DELTA30/1974,4.64385618977
DENV2/SENEGAL/0674/1970,DENV2/VIETNAM/AC20/2003,5.12928301694
DENV2/SENEGAL/0674/1970,DENV2/VIETNAM/AC21/2003,3.39231742278
DENV2/SENEGAL/0674/1970,DENV2/VIETNAM/BIDV735/2006,6.16992500144
DENV2/SENEGAL/0674/1970,DENV3/CAMBODIA/AC23/2011,4.45943161864
DENV2/SENEGAL/0674/1970,DENV3/MYANMAR/80931/2008,3.90689059561
DENV2/SENEGAL/0674/1970,DENV3/NICARAGUA/BIDV4753/2009,3.58496250072
DENV2/SENEGAL/0674/1970,DENV3/PUERTO_RICO/429965/2006,4.52356195606
DENV2/SENEGAL/0674/1970,DENV3/VIETNAM/BIDV1817/2007,4.16992500144
DENV2/SENEGAL/0674/1970,DENV4/BRAZIL/NA/2012,3.45943161864
DENV2/SENEGAL/0674/1970,DENV4/CAMBODIA/AC33/2011,3.58496250072
DENV2/SENEGAL/0674/1970,DENV4/CAMBODIA/NA/2010,3.45943161864
DENV2/SENEGAL/0674/1970,DENV4/MALAYSIA/P731120/1973,3.45943161864
DENV2/TONGA/DELTA30/1974,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.26470322619
DENV2/TONGA/DELTA30/1974,DENV1/PERU/IQT6152/2000,4.58496250072
DENV2/TONGA/DELTA30/1974,DENV1/VIETNAM/BIDV1937/2008,3.58496250072
DENV2/TONGA/DELTA30/1974,DENV2/CAMBODIA/D2T0601085/2009,5.0
DENV2/TONGA/DELTA30/1974,DENV2/MALAYSIA/DKD811/2008,4.85798099513
DENV2/TONGA/DELTA30/1974,DENV2/NICARAGUA/BIDV533/2005,3.80735492206
DENV2/TONGA/DELTA30/1974,DENV2/NICARAGUA/BIDV571/2006,6.04439411936
DENV2/TONGA/DELTA30/1974,DENV2/PERU/IQT2913/1996,3.80735492206
DENV2/TONGA/DELTA30/1974,DENV2/TONGA/DELTA30/1974,6.11988431894
DENV2/TONGA/DELTA30/1974,DENV2/VIETNAM/AC20/2003,5.95419631039
DENV2/TONGA/DELTA30/1974,DENV2/VIETNAM/AC21/2003,3.80735492206
DENV2/TONGA/DELTA30/1974,DENV2/VIETNAM/BIDV735/2006,7.86727873971
